category,source,target
*,BREAKER COMBI RIFLE,破盾复合步枪
*,COMBI RIFLE,复合步枪
*,K1 COMBI RIFLE,K1 复合步枪
*,MULTI RIFLE,多用途步枪
*,PLASMA RIFLE,等离子步枪
*,T2 RIFLE,T2 步枪
*,VIRAL RIFLE,病毒步枪
*,VIRAL COMBI RIFLE,病毒复合步枪
*,HEAVY RIOTSTOPPER,重型镇暴枪
*,LIGHT RIOTSTOPPER,轻型镇暴枪
*,HEAVY ROCKET LAUNCHER,重型火箭发射器
*,LIGHT ROCKET LAUNCHER,轻型火箭发射器
*,BOARDING SHOTGUN,登舰霰弹枪
*,HEAVY SHOTGUN,重型霰弹枪
*,LIGHT SHOTGUN,轻型霰弹枪
*,T2 BOARDING SHOTGUN,T2 登舰霰弹枪
*,VULKAN SHOTGUN,火山霰弹枪
*,AP SNIPER RIFLE,穿甲狙击步枪
*,K1 SNIPER RIFLE,K1 狙击步枪
*,MULTI SNIPER RIFLE,多用途狙击步枪
*,PLASMA SNIPER RIFLE,等离子狙击步枪
*,T2 SNIPER RIFLE,T2 狙击步枪
*,VIRAL SNIPER RIFLE,病毒狙击步枪
*,AP SPITFIRE,穿甲轻机枪
*,ADHESIVE LAUNCHER,黏胶发射器
*,AKRYLAT-KANONE,黏胶火箭筒
*,BLITZEN,闪电
*,CHAIN-COLT,碎链手枪
*,CHAIN RIFLE,碎链步枪
*,CONTENDER,争斗者
*,CRAZYKOALA,疯狂考拉
*,DISCOVER,搜索
*,D-CHARGES,爆破装置
*,E/MARAT,电子喷射枪
*,E/MITTER,电磁发射器
*,FEUERBACH,火焰之河
*,FLAMMENSPEER,烈焰长矛
*,FLASH PULSE,闪光脉冲
*,HYPER RAPID MAGNETIC CANNON,超高速电磁炮
*,JAMMER,干扰器
*,KATYUSHA MRL,喀秋莎多管火箭发射器
*,MADTRAPS,狂怒捕手
*,MISSILE LAUNCHER,导弹发射器
*,NANOPULSER,纳米脉冲器
*,OHOTNIK,大口径猎枪
*,PANZERFAUST,铁拳
*,PITCHER,投射器
*,PLASMA CARBINE,等离子卡宾枪
*,PORTABLE AUTOCANNON,单兵便携自动炮
*,PULZAR,纳米喷射器
*,RED FURY,赤红愤怒
*,SEPSITOR PLUS,强效腐化器
*,SUBMACHINE GUN,微型冲锋枪
*,URAGAN MRL,飓风多管火箭发射器
*,ZAPPER,灭虫器
*,SNIPER RIFLE,狙击步枪
*,RIFLE,步枪
*,SPITFIRE,轻机枪
*,PISTOL,手枪
*,BS ATTACK,射击攻击
*,REPEATER,中继器
*,FIREWALL,防火墙
*,DODGE,闪避
*,CC ATTACK,近战攻击
*,MINESWEEPER,扫雷器
*,DEPLOYABLE,可部署
*,CC WEAPON,近战武器
*,HEAVY MACHINE GUN,重机枪
*,HACKING DEVICE,黑客装置
*,MARKSMAN RIFLE,神射手步枪
*,SEPSITOR,腐化器
*,GRENADES,手雷
*,GUIDED,制导
*,Reroll,重投
*,Hidden Deployment,隐匿部署
*,ITS BIKE RECON Motorized Bounty Hunters,ITS赛季摩托赏金猎人
*,Motorized Bounty Hunters,摩托化赏金猎人
*,DISMOUNTED,步行模式
*,This option is only available for missions with the Bike Recon rule,本选项只有在ITS13赛季具备【载具侦查】规则的任务可用，不占用军表分数、不计入战斗组的10人或军表的15人限制计数中，在任务中本单位视作专家部队
*,Sergeant So-ra Kwon,权素拉中士
*,"Sergeant SO-RA KWON, JUJAK Regiment",权素拉中士，朱雀团
*,So-ra Kwon,权素拉
*,Beasthunters Free Guild,野兽猎人自由行会
*,Beasthunters,野兽猎人
*,Beasthunter,野兽猎人
*,"DIGGERS, Armed Prospectors",矿工，武装探矿者
*,DIGGER,矿工
*,"TRIPHAMMERS, Repurposed Industrial TAGs",杵锤，工业再利用机甲
*,"TRIPHAMMER, Repurposed Industrial TAG",杵锤，工业再利用机甲
*,TRIPHAMMER,杵锤
*,FULL POWER,全动力模式
*,BATTLE-RAVAGED,战损模式
*,MENDOZA,门多萨
*,Padre-Inquisidor,审判神父
*,KYLE HAWKINS,凯尔·霍金斯
*,HAWKINS,霍金斯
*,Military Order CURATORS,修会监护使
*,CURATOR,监护使
*,TRINITARIAN TERTIARIES,圣三一修士
*,TRINITARIAN,圣三一修士
*,CROSIER,持杖廷卫
*,KNIGHT COMMANDER,骑士指挥官
*,RAVENEYE,鸦眼
*,RAVENEYE Officers,鸦眼官员
*,ROKOT,火箭兵
*,ROKOTS,火箭兵志愿防御部队
*,ZENIT-7 Detachment,天顶-7分遣队
*,ZENIT-7,天顶-7
*,VOLKOLAK Assault Troopers,狼皮突击兵
*,VOLKOLAK,狼皮
*,KOSMOSOLDAT,太空战士
*,Armata-4 Proyekt,勇士工程4号
*,POLARIS TEAM,北极星小队
*,CONTROLLER,控制员
*,POLARIS BEARPODE,北极星恐熊
*,BEARPODE,恐熊
*,FIRSTSTRIKE,先攻
*,DONN,卡丁
*,WOLFGANG AMADEUS WOLFF,沃尔夫冈·阿玛迪乌斯·伍尔夫
*,WOLFGANG AMADEUS,沃尔夫冈·阿玛迪乌斯
*,Remontnikbot V-5 ELEKTRONIK,电控遥控机器人v-5
*,ELEKTRONIK,电控遥控机器人
*,MEKHANIK,机械师
*,MEKHANIKS,机械师
*,Flight Engineers Corps,飞航工程师军团
*,STRANNIK Outer Patrol,漫游者外部巡逻队
*,STRANNIK,漫游者
*,CHERNOBOG Armored Detachment,岑诺伯格，装甲分队
*,CHERNOBOG,岑诺伯格
*,"PATCHERS, Structural Response Team",补丁工，结构反应小组
*,PATCHER,补丁工
*,FIDDLER,费德勒
*,Jackbot,杰克机器人
*,The DIABLOS of D-Block,D区的恶魔
*,DIABLO,恶魔
*,"Lobos,  Correctional Response Group",暴狼，矫正快反部队
*,"LOBOS, Correctional Response Group",暴狼，矫正快反部队
*,LOBO,暴狼
*,GATOR,鳄鱼
*,Tyrok Hunters,泰洛克猎人
*,TYROK,泰洛克
*,SKURGOT,SKURGOT
*,DARTOK Cybercombat Team,达托克，网络战斗小组
*,DARTOK,达托克
*,KAITOK Shock Regiment,凯托克冲击军团
*,KAITOK,凯托克
*,KYOSOT Killing Platoon,酋索特，杀戮小队
*,KYOSOT,酋索特
*,RINDAK Emergency Brigade,闰达克紧急救护旅
*,RINDAK,闰达克
*,"ZABUK, Morat Enslavers",匝布克，莫拉特奴役者
*,ZABUK,匝布克
*,"BULTRAK, Mobile Armored Regiment",暴特拉，机动装甲军团
*,BULTRAK,暴特拉
*,Hyper-Rapid Magnetic Cannon,超高速电磁炮
*,Flight Officer AGNES FERREIRA,飞官艾格尼斯·费雷拉
*,AGNES,艾格尼斯
*,"CASANOVA, NOC Operative",卡萨诺瓦，编外探员
*,CASANOVA,卡萨诺瓦
*,TENSHO Experts,天守专员
*,TENSHO,天守
*,RYŪKEN UNIT-9,龙剑九课
*,RYŪKEN,龙剑九课
*,TANKŌ Zensenbutai,短甲前线部队
*,TANKŌ,短甲
*,"SAITO TŌGAN, Mercenary Ninja",东岸才人，佣兵忍者
*,SAITO TŌGAN,东岸才人
*,DAIYŌKAI Dengekitai,大妖怪电击队
*,DAIYŌKAI,大妖怪
*,"KUROSHI RIDER, Aragoto Senkenbutai Rikugun Shōi",黑死骑士，荒事先遣部队陆军少尉
*,KUROSHI RIDER,黑死骑士
*,Keisotsu KAIZOKU YURIKO ODA,轻卒海贼 织田百合子
*,KAIZOKU YURIKO ODA,海贼别动队 织田百合子
*,YURIKO ODA,织田百合子
*,KEISOTSU Butai,轻卒部队
*,KEISOTSU,轻卒
*,KEMPEITAI,宪兵队
*,KEMPEI,宪兵
*,MIYAMOTO MUSHASHI,宫本武藏
*,"YOJIMBO, Sword for Hire",用心棒，雇佣剑手
*,YOJIMBO,用心棒
*,"ARAGOTO Senkenbutai, Advance Guard Regiment of Nippon",荒事先遣部队，日本先遣警卫团
*,ARAGOTO Senkenbutai,荒事先遣部队
*,ARAGOTO,荒事
*,DOMARU Butai,胴丸部队
*,DOMARU,胴丸
*,KARAKURI Special Project,机关人偶/艺妓
*,KARAKURI,艺妓
*,O-YOROI Kidobutai,大铠机动部队
*,O-YOROI,大铠
*,Oniwaban SHINOBU KITSUNE,御庭番忍狐
*,\ONIWABAN,御庭番
*,\SHINOBU,忍狐
*,TOKUSETSU Butai,特设部队
*,TOKUSETSU EISEI,特设医生
*,TOKUSETSU KOHEI,特设工兵
*,Domaru TAKESHI 'NEKO' OYAMA,胴丸部队“猫”大山武
*,OYAMA,大山武
*,SHIKAMI,鬼面
*,"BRAWLERS, Mercenary Enforcers",打斗者，佣兵执行部队
*,BRAWLER,打斗者
*,"ANACONDA, Mercenary TAG Squad",水蟒，佣兵战术机甲
*,ANACONDA,水蟒
*,Security Chief Arslan,安保主管阿尔斯兰
*,Arslan,阿尔斯兰
*,YUAN YUAN,圆圆
*,"SCARFACE TURNER, T.A.G. MERCENARIO",疤脸 乔·特纳，佣兵机甲
*,Scarface Turner. Mercenary T.A.G.,疤脸 乔·特纳，佣兵机甲
*,Beta,贝塔
*,Scarface & Cordelia,疤脸与科迪莉娅
*,CORDELIA TURNER,科迪莉娅·特纳
*,"VALERYA GROMOZ, Mercenary Hacker",瓦莱丽娅·格罗莫兹，佣兵黑客
*,VALERYA GROMOZ,瓦莱丽娅·格罗莫兹
*,"RAOUL SPECTOR, Mercenary Operative",拉乌尔·斯派克特，佣兵特工
*,SPECTOR,斯派克特
*,"UHAHU, Hacker for Hire",尤哈胡，佣兵黑客
*,UHAHU,尤哈胡
*,"EMILY HANDELMAN, Intel Agent",艾米丽·汉德尔曼，情报特工
*,EMILY,艾米丽
*,Corporate Security Unit,公司安保单位
*,SEÑOR MASSACRE,大屠杀先生
*,AVICENNA,阿维西那
*,"VALKYRIE, Elite Bodyguard",瓦尔基里，精英保镖
*,VALKYRIE,瓦尔基里
*,"LAXMEE, Hacker of Fortune",拉克希米，赏金黑客
*,LAXMEE,拉克希米
*,"HANNIBAL, Mercenary Team Leader",汉尼拔，佣兵队长
*,HANNIBAL,汉尼拔
*,Inspiring Leadership,鼓舞人心
*,HIGHLANDER,高地人
*,PEACEMAKER,和平缔造者
*,Regular,正规军
*,Irregular,非正规军
*,Impetuous,狂暴
*,Not Impetuous,
*,Hackable,可入侵
*,Non Hackable,不可入侵
*,Cube,记忆立方
*,Cube 2.0,记忆立方 2.0
*,No Cube,
*,Peripheral,附属
type,LI,轻步兵
type,MI,中步兵
type,HI,重步兵
type,TAG,战术机甲
type,REM,遥控机
type,SK,侦察兵
type,WB,突击队
type,VH,载具
category,Line Troops,阵线部队
category,Spec. Trained  Troops,特殊训练部队
category,Veteran Troops,老兵部队
category,Elite Troops,精英部队
category,Support Troops,支援部队
category,Character,人物
category,Mercenary Troops,雇佣兵
category,Headquarters Troops,指挥部队
category,Headquarters Troops / Mechanized Troops,指挥部队 / 机械化部队
order,REGULAR,正规
order,IRREGULAR,非正规
order,LIEUTENANT,指挥官
order,TACTICAL,战术感知
skill,Courage,勇气
skill,Mimetism,拟态
skill,Camouflage,迷彩
skill,Combat Jump,战斗突降
skill,Parachutist,伞兵
skill,Remote Presence,远程进驻
skill,Super-Jump,超级跳跃
skill,Stealth,潜行
skill,Sensor,传感器
skill,Specialist Operative,专家行动员
skill,Chain of Command,指挥链
skill,Counterintelligence,反情报
skill,No Wound Incapacitation,无视伤痛
equip,Biometric Visor,生体识别目镜
equip,ECM: Hacker,ECM：黑客
equip,ECM: Guided,ECM：制导
equip,Deactivator,灭虫器
equip,Deployable Repeater,可部署中继器
weapon,Combi Rifle,复合步枪
weapon,Light Shotgun,轻型霰弹枪
weapon,Boarding Shotgun,登舰霰弹枪
weapon,Heavy Flamethrower,重型火焰喷射器
weapon,Light Flamethrower,轻型火焰喷射器
weapon,Pistol,手枪
weapon,CC Weapon,近战武器
weapon,PARA CC Weapon,瘫痪近战武器
weapon,AP Submachine Gun,穿甲冲锋枪
weapon,Submachine Gun,冲锋枪
weapon,Nanopulser,纳米脉冲器
weapon,Pulzar,脉冲星
weapon,E/Mitter,电磁发射器
weapon,D-Charges,爆破装置
weapon,E/M Mine,电磁地雷
weapon,Mines,地雷
extra,-3,-3
extra,-6,-6
extra,+1B,+1B
extra,"+2""",+2”
extra,"+4""",+4”
extra,"+8""",+8”
